date,high_ada,high_avax,high_bnb,high_btc,high_dot,high_eth,high_link,high_ltc,high_shib,high_sol,high_steth,high_usdc,high_usdt,high_wbtc,high_xrp
2020-12-23,3.620084,0.157414,34.381519,24024.490234,5.18419,637.122803,12.848706,116.887657,0.0,1.510585,617.94928,1.000872,1.000226,24103.630859,0.447966
2020-12-24,3.111959,0.154337,32.705215,23768.337891,5.196156,613.815186,11.66371,111.932869,0.0,1.383668,613.328125,1.000305,1.00001,23787.308594,0.367624
2020-12-25,3.126981,0.166846,33.435284,24710.101563,5.272006,633.061401,11.862942,128.025894,0.0,1.452924,626.397217,1.000405,1.000277,24756.361328,0.380603
2020-12-26,2.988567,0.161981,33.945316,26718.070313,5.273874,650.721436,11.776303,134.735138,0.0,1.447517,642.746277,1.000476,1.000211,26791.578125,0.322314
2020-12-27,3.050767,0.16519,34.852478,28288.839844,5.394439,711.393555,13.041566,138.319717,0.0,1.408745,707.751221,1.000221,0.999145,28307.544922,0.307464
2020-12-28,3.046745,0.178583,35.976673,27389.111328,6.644754,745.877747,12.89169,136.185074,0.0,1.517038,742.24762,1.000355,0.999239,27309.701172,0.306016
2020-12-29,3.006633,0.19617,39.484234,27370.720703,7.607136,737.952881,12.975288,130.608582,0.0,1.727582,733.033936,1.001093,0.999054,27191.751953,0.248318
2020-12-30,2.939915,0.193144,39.156597,28937.740234,7.651448,754.303223,11.926013,132.450119,0.0,1.680791,730.253967,1.000455,1.0004,28912.853516,0.23536
2020-12-31,3.190903,0.185749,38.163254,29244.876953,9.43013,754.299438,11.722368,130.166245,0.0,1.55061,748.780457,1.000407,1.000752,29209.371094,0.227613
2021-01-01,3.873537,0.184246,38.928177,29600.626953,9.416587,749.201843,12.386067,133.18576,0.0,1.859656,742.005615,1.00029,1.002052,29594.912109,0.24927
2021-01-02,3.937007,0.184253,38.836254,33155.117188,9.761335,786.798462,12.363891,140.372574,0.0,1.989295,775.413513,1.000324,1.001991,33196.691406,0.238388
2021-01-03,3.82609,0.208679,41.606323,34608.558594,10.457493,1006.565002,13.977096,163.898636,0.0,2.364981,977.108093,1.00061,1.001902,34675.945313,0.237741
2021-01-04,3.83196,0.239661,43.132122,33440.21875,10.505565,1153.189209,15.575632,173.027817,0.0,2.485097,1131.822021,1.000492,1.002994,33472.4375,0.256477
2021-01-05,4.343222,0.264886,41.7346,34437.589844,10.041344,1129.37146,14.901027,162.850189,0.0,2.502616,1122.012329,1.000269,1.002832,34332.429688,0.241251
2021-01-06,4.971324,0.346298,42.192703,36879.699219,10.371598,1209.428589,17.2239,169.657455,0.0,2.185892,1181.434937,1.000082,1.002825,36808.855469,0.269158
2021-01-07,4.808977,0.353344,44.470036,40180.367188,10.629005,1282.57959,17.3491,180.873383,0.0,2.611831,1269.735352,1.000319,1.002573,39830.421875,0.365296
2021-01-08,5.813029,0.320191,43.590466,41946.738281,9.795449,1273.827515,16.152416,181.766632,0.0,3.77932,1334.820068,1.002245,1.001178,41804.183594,0.345916
2021-01-09,7.459085,0.338596,44.119743,41436.351563,9.823151,1303.871826,17.904873,179.090073,0.0,3.662788,1301.057861,1.000782,1.003157,41236.632813,0.339859
2021-01-10,7.501712,0.340394,45.155418,41420.191406,9.994553,1347.926147,18.445473,185.78035,0.0,3.733551,1343.877808,1.001349,1.002926,41299.375,0.365221
2021-01-11,6.986017,0.304996,42.477501,38346.53125,9.304654,1261.622925,16.246437,171.094833,0.0,3.513571,1283.800293,1.003255,1.00109,38308.445313,0.317941
2021-01-12,8.198621,0.31337,39.930908,36568.527344,8.616104,1149.240234,15.44045,146.716385,0.0,3.844416,1133.730469,1.001036,1.001289,36462.203125,0.309924
2021-01-13,8.478569,0.314465,40.401543,37599.960938,11.299746,1134.338501,16.207542,147.877899,0.0,3.628825,1148.287842,1.001983,1.00106,37516.832031,0.308798
2021-01-14,9.527691,0.323552,41.8731,39966.40625,14.549703,1244.163086,17.834269,156.566925,0.0,3.542866,1229.111938,1.000645,1.00087,39992.542969,0.308343
2021-01-15,9.85564,0.329685,42.41106,39577.710938,14.855377,1250.505859,21.186707,155.117233,0.0,3.435922,1238.027222,1.000784,1.000167,39625.765625,0.301757
2021-01-16,13.35924,0.365411,43.917919,37864.367188,19.322062,1290.053589,22.687338,152.060822,0.0,3.703232,1286.346069,1.000955,1.001532,37779.914063,0.295191
2021-01-17,14.382868,0.395653,46.654545,36722.351563,18.150343,1265.644653,23.611105,146.824234,0.0,3.965372,1247.243408,1.000498,1.000723,36700.5625,0.285268
2021-01-18,13.834187,0.395443,46.803802,37299.285156,18.101706,1259.450073,23.527412,154.525696,0.0,4.14792,1226.785522,1.000806,1.001132,37182.535156,0.287624
2021-01-19,13.331988,0.382987,47.098103,37755.890625,17.467545,1432.300049,22.803759,165.924301,0.0,4.031449,1415.546875,1.00181,1.002276,37741.316406,0.326188
2021-01-20,12.998588,0.376197,42.754562,36378.328125,18.125744,1405.744141,21.929914,156.138489,0.0,3.737003,1379.204956,1.000329,1.000855,36373.757813,0.308621
2021-01-21,12.990006,0.378716,42.635189,35552.679688,18.060772,1382.684448,21.936092,149.944092,0.0,3.734326,1342.215088,1.000781,1.000819,35575.9375,0.306218
2021-01-22,13.380753,0.359159,41.409695,33811.851563,17.983864,1271.687622,22.426802,141.015503,0.0,3.497146,1311.234497,1.001229,1.001611,33706.617188,0.277843
2021-01-23,13.479141,0.357211,41.850292,33360.976563,18.753698,1272.151123,25.446161,142.339264,0.0,3.597302,1267.663818,1.000354,1.001907,33160.957031,0.282623
2021-01-24,13.164893,0.368639,42.191525,32944.007813,18.724527,1395.111328,24.868954,142.652405,0.0,3.793049,1343.751587,1.001351,1.003127,33017.0,0.277425
2021-01-25,12.928799,0.363512,43.353527,34802.742188,19.051947,1467.784912,25.654894,147.150284,0.0,3.974357,1483.993896,1.000531,1.00207,34816.46875,0.282417
2021-01-26,12.716865,0.349753,42.477215,32794.550781,17.769098,1376.085083,23.952463,139.54097,0.0,4.096916,1381.410889,1.000715,1.001826,32777.132813,0.271104
2021-01-27,12.22419,0.344218,42.047836,32564.029297,17.116114,1368.074097,23.11282,134.86264,0.0,4.04863,1365.593994,1.001882,1.002204,32656.681641,0.268972
2021-01-28,12.684061,0.353483,43.076508,33858.3125,17.463062,1356.288696,24.460461,135.791534,0.0,3.943491,1356.335449,1.000261,1.002336,33624.089844,0.269009
2021-01-29,12.606816,0.366772,44.009453,38406.261719,17.64279,1428.981201,24.17988,144.958435,0.0,3.892602,1426.264893,1.000838,1.003223,38104.695313,0.310194
