date,low_ada,low_avax,low_bnb,low_btc,low_dot,low_eth,low_link,low_ltc,low_shib,low_sol,low_steth,low_usdc,low_usdt,low_wbtc,low_xrp
2020-12-23,2.79621,0.12742,30.074295,22802.646484,4.619133,560.364258,8.509154,96.269661,0.0,1.090161,564.958862,0.999678,0.999074,22620.244141,0.221363
2020-12-24,2.789799,0.132127,30.455809,22777.597656,4.655312,568.596375,9.966835,99.606331,0.0,1.173007,551.784607,0.999478,0.997893,22711.791016,0.243742
2020-12-25,2.858229,0.150497,31.864254,23463.673828,5.043451,605.424438,11.077666,108.585609,0.0,1.347236,600.420532,0.99969,0.9992,23432.056641,0.285174
2020-12-26,2.853384,0.149824,32.601746,24522.689453,5.093932,617.4021,10.67842,125.13356,0.0,1.313424,610.427185,0.999349,0.998318,24493.03125,0.287183
2020-12-27,2.848074,0.150378,32.087864,25922.769531,4.952185,628.334961,10.243767,123.097404,0.0,1.26825,617.719788,0.992177,0.996489,25881.492188,0.270248
2020-12-28,2.866661,0.153445,33.401264,26207.640625,5.122084,683.205811,12.037069,127.071342,0.0,1.294349,681.350159,0.999504,0.997324,26144.667969,0.239413
2020-12-29,2.835506,0.174039,35.342632,25987.298828,6.198066,692.149414,10.8376,121.187202,0.0,1.43972,684.054016,0.998616,0.998371,26088.066406,0.174831
2020-12-30,2.833326,0.175681,36.904491,27360.089844,7.088113,720.988892,11.097195,123.444344,0.0,1.529833,692.698547,0.999444,0.998586,27180.791016,0.19467
2020-12-31,2.788822,0.176594,36.744083,28201.992188,7.16996,726.511902,10.999017,123.036484,0.0,1.430263,703.287476,0.999507,0.999462,28171.773438,0.206465
2021-01-01,3.054542,0.172022,37.046307,28803.585938,8.120194,719.792236,11.118653,123.328079,0.0,1.502038,712.741211,0.999542,1.000608,28788.140625,0.217288
2021-01-02,3.299263,0.169233,36.925602,29091.181641,7.94329,718.109497,11.520288,123.693619,0.0,1.721482,710.509033,0.997097,0.999541,29105.271484,0.215816
2021-01-03,3.396842,0.173376,37.818104,32052.316406,8.873362,771.561646,11.883654,135.739914,0.0,1.799902,759.688171,0.998405,0.999169,32053.541016,0.217167
2021-01-04,3.250402,0.19445,38.143982,28722.755859,8.77721,912.305359,12.597854,143.623962,0.0,1.876342,915.194702,0.998751,0.99943,29309.832031,0.219722
2021-01-05,3.485492,0.208454,38.978954,30221.1875,9.084263,986.811279,13.174111,147.40007,0.0,2.077742,931.332825,0.998707,0.999844,30231.417969,0.221602
2021-01-06,4.155298,0.256225,40.592529,33514.035156,9.489743,1064.233398,14.177452,155.452866,0.0,1.907585,1063.988037,0.997871,0.999568,33567.027344,0.223464
2021-01-07,4.347032,0.283216,41.495869,36491.191406,9.496402,1167.443115,15.225082,162.806549,0.0,1.933043,1135.375854,0.997654,0.99907,36536.707031,0.24781
2021-01-08,4.054746,0.266476,40.534481,36838.636719,8.861684,1076.081543,14.263292,151.650253,0.0,2.180929,1078.89978,0.997908,0.999135,36785.300781,0.291539
2021-01-09,5.621013,0.296694,41.590103,38980.875,9.053466,1182.270386,15.064794,164.152481,0.0,2.938307,1158.051758,0.999324,0.999637,38936.058594,0.307895
