date,vol_ada,vol_avax,vol_bnb,vol_btc,vol_dot,vol_eth,vol_link,vol_ltc,vol_shib,vol_sol,vol_steth,vol_usdc,vol_usdt,vol_wbtc,vol_xrp
2020-12-23,50329367,1484453887,582613805,51146161904,665441295,15261413038,1924391288,12287537836,0,16776307,64860,994946010,85019037325,302059284,19793483656
2020-12-24,29820498,1470292431,488263504,41080759713,646511051,14317413703,1894113775,10108653753,0,9236939,53526,822668329,70696999694,233651756,16742652289
2020-12-25,26360909,1119917804,421026462,42068395846,512565394,13520927700,1400082282,11678543063,0,9359549,45601,768443745,69379207764,245056562,16321189804
2020-12-26,21332105,1191970341,434464851,48332647295,484934518,14761125202,1419511858,12680207148,9,6798656,10297,837782777,70249332948,319855621,9984475081
2020-12-27,24533711,1578354821,567285548,66479895605,784179881,26093552821,2199716491,14103307412,213,12286531,90078,1168083151,95264858228,205112923,9250325478
2020-12-28,27088075,1732151279,611476292,49056742893,1746628677,24222565862,1696784037,10248729547,0,12668150,2304,1037472251,76757036205,85432799,8389871765
2020-12-29,25386162,2967669490,938849532,45265946774,2717983832,18710683199,2021247540,9160551332,119,26355259,116889,1102774805,76792619209,63528328,12970077098
2020-12-30,17031663,1849432295,501223201,51287442704,2059017629,17294574210,1497541828,8127317345,0,12663616,95180,1158073232,72666964921,123464844,8894036560
2020-12-31,18953615,1132268397,404140896,46754964848,2751292067,13926846861,1206737630,6274573135,0,12763260,81185,1099562416,61468463255,79888312,5363979601
2021-01-01,81260736,1122218004,459165743,40730301359,2791211123,13652004358,1376173841,7326980728,0,25722549,5093,944050095,60509986287,73396342,5888429287
2021-01-02,50081958,1408849504,521965394,67865420765,3049232407,19740771179,1562557417,10532067985,78,31671064,33974,1679209330,87333964442,146756920,4773658725
2021-01-03,36997985,2303857909,758008613,78665235202,3032883074,45200463368,2298964833,15385661271,2,55073422,35084,1828596899,120425679796,317864544,5109898871
2021-01-04,39414734,3260699086,807877171,81163475344,2893262630,56945985763,2926793268,13659785704,0,59955405,289731,2201035267,125906387011,328249091,6141918380
2021-01-05,69735075,4097207384,644270927,67547324782,2080742171,41535932781,2435517090,10192818976,18,50555207,425083,1662321027,101918715244,174003619,5378491929
2021-01-06,77632627,6170988900,641021601,75289433811,2382484175,44699914188,3654880010,10743884477,0,50263975,37248,1791474728,116105139289,165477003,7552726810
2021-01-07,53715138,5149188552,829964770,84762141031,2521342761,40468027280,2848054681,13099581396,0,159870278,32000,2265386969,129467601516,194236616,15955049240
2021-01-08,100707264,4560690774,650561500,88107519480,2350202788,44334826666,2749568572,14705614969,0,206412154,57019,2236539817,131555961745,220638643,9825829516
2021-01-09,162227415,3655608662,590039660,61984162837,1478813230,33233105361,2622916177,11136779198,201,91906875,17155,1553771951,103292241007,189095702,7184429145
2021-01-10,96243972,3732911206,701488832,79980747690,1603968712,40616938053,3058197027,12774461582,202,62766977,27993,1917152178,135437984723,219986622,9647740012
2021-01-11,101394969,4768803200,890728694,123320567399,3251043299,60733630300,3428738380,17994263494,66,82877500,41918,3166658513,180779058885,406742475,9787288503
2021-01-12,157738757,4037298875,567249584,74773277909,1918790089,37494601692,2198321176,11898878222,125,73484689,22283,1934826250,117509616511,166092136,6557418314
2021-01-13,107370548,2656935144,542384725,69364315979,2915711373,30109792795,2265358357,8421748673,0,57994893,56553,1739625823,98217076295,143404068,4831812051
2021-01-14,154674301,2686785564,534108764,63615990033,5405054869,33410915929,2758638858,8271411810,619,59283112,68022,1810728488,97567813514,120693349,5277189444
2021-01-15,123418249,3171984602,562019413,67760757881,6159630996,35972039310,6831687993,8416625031,623,45331739,295924,1630000401,112214718054,152645840,4955409029
2021-01-16,302897986,4476161885,604218252,57706187875,8917081506,32319240157,5499569396,7183807955,1226,68035606,83899,1671304227,101603530718,150140547,4116256007
2021-01-17,303643624,5617481334,664875513,52359854336,6091648732,29258032819,5027606263,6098835633,48,85407766,15937,1463914697,91132972168,95244127,3488557208
2021-01-18,144213432,3480282508,586905636,49511702429,3888179752,25817455560,3602422029,6640211538,45,70601713,95182,1412016575,81024209658,144620090,3239112861
2021-01-19,147387064,2957453653,750638729,57244195486,3414422602,47195935190,3077697742,9314780275,8,44547768,26024,2019188111,103734629698,292297642,5583136814
2021-01-20,143245334,3281600988,684094133,66834573161,4624508717,46784030909,3432961301,9002037330,0,46698656,8876,1814079623,115893865966,185211997,4528341598
2021-01-21,166420741,3567902823,621983627,75643067688,4843725549,45932464754,3407990168,8703006148,0,43834765,12499,1853154939,125636003892,149940476,4453463443
2021-01-22,190313148,4066222238,561072899,77207272511,2991599976,43918338506,4292258678,8550579025,52,63361382,17611,2196461508,121548669235,189634945,4501765714
2021-01-23,140727865,2781033956,468609053,48354737975,2842317183,27253895441,5098945533,5380627901,0,27904470,13234,1287925958,80722167203,123203158,3018882841
2021-01-24,105137518,2539663711,450486066,48643830599,2800444854,36418163554,3727726940,4972171240,0,32747555,8732,1335242694,84413124756,168851963,2472431875
2021-01-25,89612475,2339817092,507172505,59897054838,3351498659,43565777745,3740983054,6344860290,473,80055958,2899,1637162641,101158851200,257151173,2925493997
2021-01-26,117575609,2557745015,546536514,60255421470,2588253411,41572917750,3117612364,5897389103,132,78823456,57576,1584592377,101647526020,222989223,2790821503
2021-01-27,97215395,2666764973,519618043,62576762015,2973163194,39394416990,3092662315,6281091792,38,35195110,717095,1674268317,105901637306,223371858,2940937079
2021-01-28,115201839,2863036709,533847527,76517157706,2960951225,34637234789,3652814431,5828235786,13,31410527,142652,1532598984,104090387181,151667679,2793379611
2021-01-29,146529369,3367098095,651771603,117894572511,3657663583,53611955259,3788470512,8878892082,523,44053151,288,2410429032,183670639698,416503263,8031899348
2021-01-30,112936218,2866173269,533768579,65141828798,1998709420,30616574234,2685935167,6332391807,5708932,53378198,2892,1443344471,115648742489,151934724,24417465997
